LocationId, ScanNo, Date, Time, RoomId, InOut, RoomType, MAC, SignalStrength, Connected
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-64, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-66, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-66, Yes
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-66, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-66, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-67, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-78, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-79, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-80, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:08,-82, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-86, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0c,-86, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-87, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:09,-87, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0a,-87, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:6a,-91, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:69,-92, No
1,1, 2014-Sep-19, 17:12:06, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:68,-93, No
1,2, 2014-Sep-19, 17:12:11, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a1,-58, No
1,2, 2014-Sep-19, 17:12:11, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a2,-58, No
1,2, 2014-Sep-19, 17:12:11, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a4,-61, No
1,2, 2014-Sep-19, 17:12:11, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a0,-62, No
1,2, 2014-Sep-19, 17:12:11, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-63, No
1,2, 2014-Sep-19, 17:12:11, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-63, Yes
1,2, 2014-Sep-19, 17:12:11, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
