 Scan No., Date, Room Id, In/Out, Room Type, MAC, Signal Strength
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-64
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-66
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-66
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-66
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-66
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-66
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-67
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-78
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-79
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-80
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:08,-82
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-86
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0c,-86
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-87
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:09,-87
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0a,-87
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:6a,-91
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:69,-92
1, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:68,-93
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a1,-58
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a2,-58
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a4,-61
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a0,-62
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-63
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-63
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-67
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-67
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-73
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-74
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-77
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-77
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e4,-77
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e2,-78
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-79
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-80
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e0,-80
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e1,-80
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e4,-80
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-81
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:09,-85
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:08,-85
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0c,-85
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:97:0a,-85
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-87
2, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:6e:a3,-91
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a4,-61
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a1,-62
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a2,-62
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a0,-64
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:52,-64
